name,unit,value
control_memory_stream_ms,ms,0.494364
iterate_all_active_160k_ms,ms,0.273556
iterate_all_active_160k_chunks,count,1219
iterate_two_of_eight_160k_ms,ms,0.064181
iterate_two_of_eight_160k_chunks,count,1219
iterate_interleaved_160k_ms,ms,0.268945
iterate_interleaved_160k_chunks,count,1219
import_1000_ms,ms,0.061775
import_1000_row_migrations,count,0
import_1000_chunks,count,8
detach_1000_ms,ms,0.013624
import_5000_ms,ms,0.312079
import_5000_row_migrations,count,0
import_5000_chunks,count,38
detach_5000_ms,ms,0.066148
import_20000_ms,ms,1.28394
import_20000_row_migrations,count,0
import_20000_chunks,count,152
detach_20000_ms,ms,0.298895
churn_chunks_after_1_cycle,count,8
churn_chunks_after_10_cycles,count,8
churn_empty_chunks_retained,count,8
propagate_steady_40000_ms,ms,0.065356
propagate_clean_40000_ms,ms,0.000732
propagate_after_attach_40000_ms,ms,0.001928
propagate_rebuilds_per_attach_40000,count,0
propagate_address_resolves_per_attach_40000,count,1
propagate_steady_80000_ms,ms,0.136165
propagate_clean_80000_ms,ms,0.001425
propagate_after_attach_80000_ms,ms,0.002914
propagate_rebuilds_per_attach_80000,count,0
propagate_address_resolves_per_attach_80000,count,1
propagate_steady_160000_ms,ms,0.279659
propagate_clean_160000_ms,ms,0.003004
propagate_after_attach_160000_ms,ms,0.005634
propagate_rebuilds_per_attach_160000,count,0
propagate_address_resolves_per_attach_160000,count,1
propagate_hierarchy_dirty_20000_ms,ms,0.117447
propagate_hierarchy_clean_20000_ms,ms,0.031059
