name,unit,value
control_memory_stream_ms,ms,0.713037
index_build_chain_z8_ms,ms,0.000219939
validate_chain_z8_ms,ms,0.000772834
load_manifest_chain_z8_ms,ms,0.00193221
manifest_write_read_chain_z8_ms,ms,0.0277073
hop_ranks_chain_z8_ms,ms,0.000136414
demand_chain_z8_ms,ms,0.000320389
demand_radius_chain_z8_ms,ms,0.000481621
index_build_grid_z8_ms,ms,0.000220059
validate_grid_z8_ms,ms,0.000925377
load_manifest_grid_z8_ms,ms,0.00204614
manifest_write_read_grid_z8_ms,ms,0.0376503
hop_ranks_grid_z8_ms,ms,0.000224777
demand_grid_z8_ms,ms,0.000508699
demand_radius_grid_z8_ms,ms,0.000768363
index_build_hub_z8_ms,ms,0.000164783
validate_hub_z8_ms,ms,0.000629494
load_manifest_hub_z8_ms,ms,0.00182625
manifest_write_read_hub_z8_ms,ms,0.0220768
hop_ranks_hub_z8_ms,ms,9.87832e-05
demand_hub_z8_ms,ms,0.00023077
demand_radius_hub_z8_ms,ms,0.000483945
index_build_multigraph_z8_ms,ms,0.000228545
validate_multigraph_z8_ms,ms,0.00079285
load_manifest_multigraph_z8_ms,ms,0.00197638
manifest_write_read_multigraph_z8_ms,ms,0.0290814
hop_ranks_multigraph_z8_ms,ms,0.000251371
demand_multigraph_z8_ms,ms,0.00067023
demand_radius_multigraph_z8_ms,ms,0.000799131
index_build_chain_z32_ms,ms,0.000714852
validate_chain_z32_ms,ms,0.00452491
load_manifest_chain_z32_ms,ms,0.00881471
manifest_write_read_chain_z32_ms,ms,0.115995
hop_ranks_chain_z32_ms,ms,0.000167836
demand_chain_z32_ms,ms,0.000413977
demand_radius_chain_z32_ms,ms,0.000696922
index_build_grid_z32_ms,ms,0.000861414
validate_grid_z32_ms,ms,0.00624918
load_manifest_grid_z32_ms,ms,0.0106688
manifest_write_read_grid_z32_ms,ms,0.162476
hop_ranks_grid_z32_ms,ms,0.000310336
demand_grid_z32_ms,ms,0.000677555
demand_radius_grid_z32_ms,ms,0.00151653
index_build_hub_z32_ms,ms,0.000600156
validate_hub_z32_ms,ms,0.00283779
load_manifest_hub_z32_ms,ms,0.00742141
manifest_write_read_hub_z32_ms,ms,0.0884663
hop_ranks_hub_z32_ms,ms,0.00025875
demand_hub_z32_ms,ms,0.000427484
demand_radius_hub_z32_ms,ms,0.000819547
index_build_multigraph_z32_ms,ms,0.000668039
validate_multigraph_z32_ms,ms,0.00453612
load_manifest_multigraph_z32_ms,ms,0.00890277
manifest_write_read_multigraph_z32_ms,ms,0.119129
hop_ranks_multigraph_z32_ms,ms,0.00022643
demand_multigraph_z32_ms,ms,0.000595273
demand_radius_multigraph_z32_ms,ms,0.00101961
index_build_chain_z128_ms,ms,0.00481097
validate_chain_z128_ms,ms,0.0376325
load_manifest_chain_z128_ms,ms,0.0561517
manifest_write_read_chain_z128_ms,ms,0.463186
hop_ranks_chain_z128_ms,ms,0.000371156
demand_chain_z128_ms,ms,0.000771344
demand_radius_chain_z128_ms,ms,0.00140156
index_build_grid_z128_ms,ms,0.0059625
validate_grid_z128_ms,ms,0.0566878
load_manifest_grid_z128_ms,ms,0.0807998
manifest_write_read_grid_z128_ms,ms,0.690836
hop_ranks_grid_z128_ms,ms,0.000661281
demand_grid_z128_ms,ms,0.00127272
demand_radius_grid_z128_ms,ms,0.00299872
index_build_hub_z128_ms,ms,0.00446047
validate_hub_z128_ms,ms,0.0195889
load_manifest_hub_z128_ms,ms,0.0389388
manifest_write_read_hub_z128_ms,ms,0.34485
hop_ranks_hub_z128_ms,ms,0.00276522
demand_hub_z128_ms,ms,0.00302181
demand_radius_hub_z128_ms,ms,0.00385831
index_build_multigraph_z128_ms,ms,0.00476328
validate_multigraph_z128_ms,ms,0.0362863
load_manifest_multigraph_z128_ms,ms,0.0560279
manifest_write_read_multigraph_z128_ms,ms,0.467337
hop_ranks_multigraph_z128_ms,ms,0.0005105
demand_multigraph_z128_ms,ms,0.00118462
demand_radius_multigraph_z128_ms,ms,0.00212775
index_build_chain_z512_ms,ms,0.0399526
validate_chain_z512_ms,ms,0.375032
load_manifest_chain_z512_ms,ms,0.460165
manifest_write_read_chain_z512_ms,ms,1.85103
hop_ranks_chain_z512_ms,ms,0.000804375
demand_chain_z512_ms,ms,0.00165062
demand_radius_chain_z512_ms,ms,0.00364212
index_build_grid_z512_ms,ms,0.0458154
validate_grid_z512_ms,ms,0.62216
load_manifest_grid_z512_ms,ms,0.718785
manifest_write_read_grid_z512_ms,ms,2.81163
hop_ranks_grid_z512_ms,ms,0.00194637
demand_grid_z512_ms,ms,0.00314725
demand_radius_grid_z512_ms,ms,0.007424
index_build_hub_z512_ms,ms,0.0401198
validate_hub_z512_ms,ms,0.152283
load_manifest_hub_z512_ms,ms,0.239335
manifest_write_read_hub_z512_ms,ms,1.37076
hop_ranks_hub_z512_ms,ms,0.032274
demand_hub_z512_ms,ms,0.0327975
demand_radius_hub_z512_ms,ms,0.0350254
index_build_multigraph_z512_ms,ms,0.0398794
validate_multigraph_z512_ms,ms,0.379378
load_manifest_multigraph_z512_ms,ms,0.46336
manifest_write_read_multigraph_z512_ms,ms,1.86045
hop_ranks_multigraph_z512_ms,ms,0.00115788
demand_multigraph_z512_ms,ms,0.00258463
demand_radius_multigraph_z512_ms,ms,0.00500312
